userid,timestamp,itemid,interactiontype,feature1,feature2,purchase
157,2025-06-12 15:28:52,item-61,view,19.74,1.83,0
179,2025-08-31 20:58:57,item-13,add-to-cart,71.82,0.11,0
667,2024-06-22 21:59:19,item-90,view,37.46,0.7,0
281,2021-11-15 04:27:46,item-4,favorite,61.35,0.79,0
593,2024-08-02 17:58:05,item-68,click,23.97,2.48,0
275,2025-02-23 13:49:04,item-73,view,38.54,2.73,0
847,2023-02-22 15:15:21,item-97,view,58.54,3.1,0
358,2025-06-29 23:30:19,item-34,view,70.0,3.48,0
906,2026-03-30 16:33:49,item-70,view,59.21,3.49,0
80,2024-01-21 10:46:01,item-1,purchase,53.17,4.37,1
876,2026-06-16 21:38:55,item-78,view,1.89,5.26,0
232,2023-08-26 19:13:27,item-86,purchase,18.86,5.64,1
592,2021-04-20 11:21:44,item-53,click,7.03,6.06,0
485,2024-10-03 08:09:23,item-16,click,12.51,6.68,0
470,2025-05-23 12:53:43,item-3,view,33.95,7.04,0
74,2026-01-06 04:51:53,item-67,click,18.43,7.85,0
616,2025-12-21 08:40:04,item-25,add-to-cart,94.59,9.08,0
110,2024-09-09 19:27:22,item-2,add-to-cart,10.83,9.31,0
627,2026-01-11 16:39:04,item-51,add-to-cart,8.5,9.38,1
901,2026-04-26 21:46:08,item-17,favorite,86.37,9.77,0
822,2023-11-08 15:18:04,item-52,add-to-cart,64.65,10.36,0
74,2026-01-18 02:22:33,item-51,favorite,89.67,10.42,0
328,2022-06-11 13:59:19,item-76,favorite,66.84,10.52,0
588,2021-09-30 19:21:23,item-42,view,24.71,10.99,0
564,2025-06-10 07:14:58,item-10,view,60.65,11.2,0
338,2024-02-29 06:46:23,item-24,view,39.59,11.33,0
412,2024-11-04 19:43:26,item-42,favorite,41.96,11.53,0
502,2026-06-27 06:58:56,item-41,add-to-cart,9.19,11.54,0
181,2025-08-04 09:10:40,item-18,favorite,5.16,11.88,0
871,2024-01-18 00:00:20,item-39,purchase,54.8,11.96,1
723,2026-05-26 14:43:49,item-44,add-to-cart,91.12,12.39,0
320,2020-12-24 07:22:19,item-42,favorite,1.18,12.68,0
588,2021-03-12 03:25:43,item-69,favorite,17.54,12.85,0
344,2022-12-08 05:27:03,item-70,favorite,34.64,12.92,0
814,2025-05-17 19:19:50,item-65,purchase,94.8,13.17,1
306,2024-01-20 18:54:23,item-20,view,51.2,13.3,0
789,2024-04-08 09:16:41,item-91,favorite,72.06,13.5,0
615,2025-06-20 04:35:30,item-63,click,71.78,13.51,0
817,2024-07-31 13:25:34,item-62,favorite,68.56,13.59,0
828,2026-03-08 03:05:20,item-78,add-to-cart,78.06,13.78,0
333,2026-03-11 21:40:08,item-76,favorite,18.81,13.8,0
301,2024-05-02 03:18:30,item-99,add-to-cart,32.3,13.85,0
99,2025-02-05 06:29:36,item-18,favorite,23.56,13.97,1
946,2024-03-10 10:32:21,item-53,purchase,89.69,14,1
